ABMB,Barmstedt Brunnenstraße,Barm Brunnenstr,,
ABMS,Barmstedt,Barmstedt,,
ABNS,Bönningstedt,Bönningstedt,,
ABOE,Bötersen,Bötersen,,
ABOS,Boostedt,Boostedt,,
ABR,Burg (Dithm),Burg (Dithm),"54,007974","9,249247"
ABRA,Burg (Dithm) Awanst,Burg Awanst,,
ABRB,Bredenbek,Bredenbek,"54,315057","9,867075"
ABRBM,Bredenbek Mühlenweg,Bredenb Mühlenwg,,
ABRD,Bordesholm,Bordesholm,"54,174397","10,043813"
ABRI,Brillit,Brillit,,
ABRM,Brandenbaum,Brandenbaum,"53,853082","10,744194"
ABRO,Brockel,Brockel,,
ABRP,Braderup,Braderup,,
ABRS,Brokstedt,Brokstedt,"53,989813","9,823243"
ABS,Hamburg-Billwerder (Üst),Billwerder,"53,507278","10,11313"
ABSC,Bad Schwartau FBQ,B Schwartau FBQ,,
ABSD,Bad Bramstedt,Bad Bramstedt,,
ABSF,Börnsen,Börnsen,,
ABSK,Bad Bramstedt Kurhaus,Bad Bramst Kurh,,
ABSM,Büsum,Büsum,"54,133836","8,867082"
ABSMH,Büsum Hafen,Büsum Hafen,,
ABST,Bredstedt,Bredstedt,"54,621422","8,96998"
ABSTB,Bredstedt Bf,Bredstedt Bf,,
ABSTM,Bredstedt Marktplatz,Bredstedt Markt,,
ABTS,Hamburg Berliner Tor,Berliner Tor,,
ABTSB,Hamburg Berliner Tor (Bergedorf),Berliner Tor B,"53,552456","10,02495"
ABTSL,Hamburg Berliner Tor (Landwehr),Berliner Tor L,"53,552978","10,024647"
ABUA,Burg (Fehmarn) Abzw,Burg (F) Abzw,"54,448823","11,182239"
ABUE,Büdelsdorf,Büdelsdorf,,
ABUF,Fehmarn-Burg,Fehmarn-Burg,,
ABUG,Burg (Fehmarn) DB-Grenze,Burg (F) DB-Gr,"54,447057","11,186092"
ABUS,Büsenbachtal,Büsenbachtal,"53,269666","9,858573"
ABUSS,Alter Schafstall,Alter Schafstall,,
ABUW,Burg (Fehmarn) West,Burg(F)West,"54,45032","11,180826"
ABUWN,Burg (Fehmarn) West Abzw Bft,Burg (F) W Abzw,"54,45335","11,186339"
ABV,Bremervörde,Bremervörde,,
ABVD,Bremervörde Süd,Bremervörde Süd,,
ABVS,Bad Bevensen,Bad Bevensen,"53,078242","10,574191"
ABWD,Hamburg-Burgwedel,Burgwedel,,
ABWG,Buscher Weg,Buscher Weg,,
ABWM,Hamburg-Billwerder-Moorfleet,Billw-Moorfl,"53,515491","10,097032"
ABX,Buxtehude,Buxtehude,"53,469315","9,697797"
ABXA,Buxtehude Abzw,Buxtehude Abzw,,
ABXG,Buxtehude DB-Grenze,Buxtehude DB-Gr,"53,471494","9,678984"
ABZS,Hamburg Betriebszentrale S-Bahn,Hambg BZ S-Bahn,,
ACD,Cadenberge,Cadenberge,"53,768014","9,058375"
ACSS,Hamburg Claudiusstraße,Claudiusstraße,,
ACSSB,Hamburg Bovestraße,Bovestraße,,
ACV,Cuxhaven,Cuxhaven,"53,846063","8,730976"
ACV A,Cuxhaven Alte Liebe,Cuxhaven Alte Lb,,
ACV B,Cuxhaven Bf/ZOB,Cuxhaven Bf/ZOB,,
ACV C,Cuxhaven-Döse Kirche,Cuxhvn-Döse Kir,,
ACV E,Cuxhaven-Duhnen Seelust,Cuxhvn-Duh Seel,,
ACV F,Cuxhaven CF,Cuxhaven CF,,
ACV G,Cuxhaven Gbf,Cuxhaven Gbf,,
ACV H,Cuxhaven Helgoländer Kai,Cuxhv Helgol Kai,,
ACV K,Cuxhaven Alte Liebe Katamaran,Cuxhv Alte L Kat,,
ACV L,Cuxhaven Lichtenbergplatz,Cuxhaven Lichten,,
ACV M,Cuxhaven Amerika Bahnhof,Cux Amerika Bf,,
ACV N,Cuxhaven Döser Nordfeld,Cuxhvn Dös Nord,,
ACV O,Cuxhaven-Duhnen Dorfbrunnen,Cuxhvn-Duh Dorf,,
ACV W,Cuxhaven-Döse Kreuzweg,Cuxhvn-Döse Kreu,,
ACVG,Cuxhaven DB-Grenze,Cuxhaven DB-Gr,"53,846377","8,730457"
ACVX,Cuxhaven ESTW,Cuxhaven ESTW,,
ADA,Dalldorf,Dalldorf,"53,427621","10,609986"
ADB,Dannenberg Ost,Dannenberg Ost,"53,105029","11,118281"
ADBG,Dannenberg Ost DB-Grenze,Dannenb O DB-Gr,,
ADBH,Dagebüll Hafen,Dagebüll Hafen,,
ADBK,Dagebüll Kirche,Dagebüll Kirche,,
ADDL,Diekjen-Deel,Diekjen-Deel,,
ADEV,Deutsch Evern,Deutsch Evern,"53,199818","10,43445"
ADF,Hamburg Dammtor,Hamburg Dammtor,"53,56087","9,989508"
ADH,Dauenhof,Dauenhof,"53,852594","9,680756"
ADL,Dahlenburg,Dahlenburg,"53,169339","10,708749"
ADM,Dagebüll Mole,Dagebüll Mole,,
ADO,Dorum,Dorum,"53,688632","8,57571"
ADPA,Padborg DB (DK) entspricht XDPA,Padborg DB XDPA,,
ADR,Dollern,Dollern,"53,545536","9,557975"
ADS,Deinste,Deinste,,
ADS K,Deinste Kleinbf,Deinste Kleinbf,,
ADST,Hamburg Dammtor (S-Bahn),Dammtor (S-Bahn),"53,560956","9,989712"
ADT,Hamburg Diebsteich,Diebsteich,"53,568979","9,934244"
ADZB,Deezbüll,Deezbüll,,
AE,Hamburg-Eidelstedt,Hmb-Eidelstedt,"53,611801","9,875298"
AE F,Hamburg-Eidelstedt (Ef),Hmb-Eidelst Ef,,
AE N,Hamburg-Eidelstedt (En),Hmb-Eidelst En,,
AE O,Hamburg-Eidelstedt (Eo),Hmb-Eidelst Eo,"53,60722","9,884238"
AEBG,Escheburg,Escheburg,,
AEBR,Sankt Annen Eiderbrücke,Eiderbrücke,"54,361753","9,070496"
AEC,Eckernförde,Eckernförde,"54,467882","9,834797"
AECH,Echem,Echem,"53,337016","10,537152"
AECX,Lindaunis ESTW-Z,Lindaunis ESTW,"54,12935","9,9979"
AEF,Einfeld,Einfeld,,
AEGG,Hamburg Gutenbergstraße (DB-Gr),Gutenbst DB-Gr,,
AEGS,Hamburg Elbgaustraße,Elbgaustraße,"53,602951","9,892806"
AEGT,Hamburg Gutenbergstraße Abzw,Gutenbergst Abzw,,
AEI,Eidersperrwerk,Eidersperrwerk,,
AEL,Elmshorn,Elmshorn,"53,755199","9,658801"
AEL B,Elmshorn ZOB,Elmshorn ZOB,,
AEL N,Elmshorn Nord,Elmshorn Nord,,
AEL W,Elmshorn West,Elmshorn West,,
AELA,Ellerau,Ellerau,,
AELB,Hamburg Elbbrücken,Elbbrücken,"53,534836","10,024685"
AELS,Hamburg Norderelbe,Norderelbe,"53,530439","10,020645"
AELX,Elmshorn ESTW-Z,Elmshorn ESTW,,
AENG,Hamburg-Eidelstedt Zentrum DB-Gr,Eidelst Zentr Gr,,
AENZ,Hamburg-Eidelstedt Zentrum,Hmb-Eidelst Zent,,
AEOF,Edendorf,Edendorf,,
AERI,Hamburg Ericus,Ericus,"53,541447","10,008871"
AERX,Hamburg-Eidelstedt Rangierstellwerk FV,Eidelst RaSTW FV,,
AESA,Elbgaustraße-Stellingen (AKN),Stell (AKN),,
AESG,Elbgaustraße-Stellingen (DB-Gr),Stelling (DB-Gr),,
AESGW,Elbgaustraße-Stellingen (AKN-Gr),Stell W (AKN-Gr),,
AESL,Essel (Kr Stade),Essel (Kr Stade),,
AEST,Hamburg-Eidelstedt (S-Bahn),Eidelst (S-Bahn),"53,596323","9,906031"
AESW,Elbgaustraße-Stellingen (Werk S-Bahn),Stell W (S-Bahn),,
AEU,Eutin,Eutin,"54,135571","10,609684"
AEX,Hamburg-Eidelstedt ESTW-Z,Hmb-Eidelst ESTW,,
AF,Flensburg,Flensburg,"54,773973","9,436017"
AF B,Flensburg Bahnhof,Flensburg Bf,,
AF Z,Flensburg ZOB,Flensburg ZOB,,
AFAL,Faulück,Faulück,,
AFB,Hamburg-Klein Flottbek,Klein Flottbek,"53,558219","9,860585"
AFBG,Hamburg Friedrichsberg,Friedrichsbg,"53,576188","10,057462"
AFC,Fockbek,Fockbek,,
AFD,Friedrichstadt,Friedrichstadt,"54,378165","9,07906"
AFE,Fredenbeck,Fredenbeck,,
AFEB,Felde-Brandsbek,Felde-Brandsbek,"54,309848","9,947365"
AFF,Frelsdorf,Frelsdorf,,
AFFB,Fiefbergen,Fiefbergen,,
AFIB,Fischbek,Fischbek,"53,474808","9,819427"
AFK,Fahrenkrug,Fahrenkrug,"53,943922","10,253123"
AFN,Fresenburg,Fresenburg,"53,842038","10,390733"
AFO,Flensburg Ost,Flensburg Ost,,
AFR,Flensburg Friedensweg,Friedensweg,"54,770242","9,392521"
AFRD,Friedrichsruh,Friedrichsruh,"53,527922","10,341037"
AFRG,Friedrichsgabe,Friedrichsgabe,,
AFS,Flensburg Süd,Flensburg Süd,"54,763315","9,444969"
AFT,Flintbek,Flintbek,"54,243675","10,0632"
AFW,Flensburg Weiche,Flensburg Weiche,"54,758433","9,398027"
AFW S,Flensburg Weiche Süd,Flensbg W Süd,,
AFWL,Friedrich-Wilhelm-Lübke-Koog,F-W-L-Koog,,
AFX,Flensburg ESTW-Z,Flensburg ESTW,,
AGD,Garding,Garding,"54,326042","8,777694"
AGD M,Garding Mitte,Garding Mitte,,
AGEH,Geesthacht,Geesthacht,,
AGF,Gettorf,Gettorf,"54,409863","9,978675"
AGH,Göhrde,Göhrde,"53,167872","10,851855"
AGHI,Grüner Hirsch,Grüner Hirsch,"54,238946","10,887152"
AGK,Gokels,Gokels,"54,119074","9,468614"
AGNB,Gnarrenburg,Gnarrenburg,,
AGNBB,Gnarrenburg Bahnsteig,Gnarrenburg Bstg,,
AGNBN,Gnarrenburg Nord,Gnarrenburg Nord,,
AGND,Glinde,Glinde,,
AGO,Godenstedt,Godenstedt,,
AGOE,Göhl,Göhl,"54,287628","10,94174"
AGR,Groß Schlamin,Groß Schlamin,"54,164008","10,863717"
AGRB,Großenbrode FBQ,Großenbrode FBQ,,
AGRH,Großenbrode-Heiligenhafen,Gbrode-Heiligenh,,
AGRO,Großenbrode,Großenbrode,"54,366458","11,081169"
AGROB,Großenbrode Dorfmitte,Großenbrode Dorf,,
AGROR,Großenbrode Rathaus,Großenbr Rathaus,,
AGRS,Groß Schlamin FBQ,Gr Schlamin FBQ,,
AGSA,Großenaspe,Großenaspe,,
AGST,Glückstadt,Glückstadt,"53,788458","9,428535"
AGTH,Geestenseth,Geestenseth,,
AGUE,Güster,Güster,"53,537893","10,656696"
AH,Hamburg Hbf,Hamburg Hbf,"53,55364","10,006622"
AH K,Hamburg Hbf Kirchenallee (Bus),Hmb Hbf Kirchena,,
AH S,Hamburg Hbf Spitaler Str. (Bus),Hmb Hbf Spitaler,,
AH Z,Hamburg Hbf ZOB,Hamburg Hbf ZOB,,
AHA,Harblek,Harblek,,
AHA B,Oldenswort ZOB,Oldenswort ZOB,,
AHA O,Oldenswort Kirche,Oldenswort Kirch,,
AHAB,Hamburg-Hammerbrook,Hammerbrook,,
AHAF,Haffkrug,Haffkrug,,
AHAGL,Hagel,Hagel,,
AHAK,Haffkrug FBQ,Haffkrug FBQ,,
AHAM,Hammah,Hammah,,
AHAN,Handeloh,Handeloh,,
AHAR,Hamburg-Harburg,Hmb-Harburg,,
AHARB,Hamburg-Harburg Bbf,Hmb-Harburg Bbf,,
AHARH,Hamburg-Harburg Betriebsbahnhof Süd,Hmb-Harb Bbf Süd,,
AHAX,Hamburg-Harburg ESTW-UZ,Hmb-Harburg ESTW,,
AHB,Hamburg Unterelbe,Hmb Unterelbe,,
